Date,MMM,AOS,ABT,ABBV,ACN,ADBE,AMD,AES,AFL,A,APD,ABNB,AKAM,ALB,ARE,ALGN,ALLE,LNT,ALL,GOOGL,GOOG,MO,AMZN,AMCR,AEE,AAL,AEP,AXP,AIG,AMT,AWK,AMP,AME,AMGN,APH,ADI,ANSS,AON,APA,AAPL,AMAT,APTV,ACGL,ADM,ANET,AJG,AIZ,T,ATO,ADSK,ADP,AZO,AVB,AVY,AXON,BKR,BALL,BAC,BK,BBWI,BAX,BDX,BRK.B,BBY,BIO,TECH,BIIB,BLK,BX,BA,BKNG,BWA,BXP,BSX,BMY,AVGO,BR,BRO,BF.B,BLDR,BG,CDNS,CZR,CPT,CPB,COF,CAH,KMX,CCL,CARR,CTLT,CAT,CBOE,CBRE,CDW,CE,COR,CNC,CNP,CDAY
2023-10-13,87.30610656738281,69.92843627929688,90.4331283569336,146.55972290039062,301.8299865722656,548.760009765625,105.08999633789062,13.013875007629396,79.8360824584961,110.32341003417967,283.6383361816406,124.08000183105467,106.61000061035156,162.9134063720703,97.90856170654295,265.989990234375,103.0873031616211,49.28940582275391,119.53509521484376,137.36000061035156,138.5800018310547,41.67491912841797,129.7899932861328,8.593804359436035,77.32185363769531,11.720000267028809,73.63143920898438,150.61341857910156,60.76150894165039,165.64743041992188,117.3633041381836,323.5863342285156,148.40252685546875,281.8836364746094,81.71851348876953,170.2677459716797,293.1300048828125,325.4505310058594,41.011837005615234,178.61468505859375,140.83738708496094,94.95999908447266,84.16000366210938,72.86827087402344,189.8500061035156,233.35501098632807,147.4794464111328,14.129509925842283,111.18262481689452,209.47000122070312,246.0087127685547,2552.699951171875,174.88380432128906,181.9331512451172,215.42999267578125,34.653717041015625,43.91918563842773,26.54810905456543,40.7667236328125,30.0141544342041,31.586328506469727,257.6472473144531,,68.6259536743164,344.7300109863281,67.69756317138672,262.260009765625,623.4994506835938,102.90032958984376,184.91000366210935,2950.080078125,38.575382232666016,54.682559967041016,49.52000045776367,55.82216262817383,879.1375122070312,176.94464111328125,69.57841491699219,,116.2699966430664,101.53568267822266,250.25,42.380001068115234,95.4867172241211,39.381595611572266,94.6533432006836,92.7542724609375,68.2300033569336,12.260000228881836,52.178749084472656,46.400001525878906,266.5626220703125,162.0800018310547,71.44999694824219,206.6673889160156,118.7328872680664,188.4903106689453,71.06999969482422,27.370723724365234,72.63999938964844
2023-10-16,88.54659271240234,71.56069946289062,91.73682403564452,145.8366241455078,305.3399963378906,550.739990234375,106.45999908447266,13.557768821716309,80.67174530029297,111.31173706054688,285.2877502441406,125.19000244140624,107.37999725341795,167.2509765625,99.90872192382812,272.3599853515625,104.8605499267578,49.7847785949707,124.10508728027344,139.10000610351562,140.49000549316406,41.880069732666016,132.5500030517578,8.771403312683105,77.68887329101562,11.9399995803833,75.20352935791016,152.2979736328125,62.27333450317383,167.84996032714844,119.29218292236328,329.3527526855469,150.22959899902344,284.6419372558594,83.19522857666016,171.93984985351562,297.1700134277344,327.0872497558594,41.946407318115234,178.48486328125,140.69769287109375,96.62999725341795,85.69999694824219,74.06087493896484,196.83999633789065,236.0589141845703,149.19189453125,14.178707122802734,111.45069885253906,211.77999877929688,247.7581024169922,2602.75,176.7276153564453,181.94309997558597,220.0500030517578,34.9719123840332,44.82586669921875,26.77628898620605,41.42009735107422,31.186891555786133,31.7252140045166,258.6929626464844,,69.88016510009766,351.0799865722656,68.48648834228516,267.94000244140625,631.2378540039062,103.6339111328125,184.92999267578125,2966.469970703125,39.33293151855469,55.98452377319336,50.09999847412109,56.51412582397461,898.4387817382812,178.85670471191406,69.67822265625,,117.9800033569336,102.68848419189452,251.4199981689453,43.61000061035156,95.87274169921876,39.76837158203125,96.59214782714844,92.19707489013672,68.2699966430664,12.359999656677246,52.76447296142578,46.52000045776367,269.3979797363281,163.1999969482422,72.43000030517578,208.2229461669922,119.72688293457033,186.3758087158203,71.12000274658203,27.579206466674805,74.23999786376953
2023-10-17,89.14714050292969,71.49102783203125,91.69701385498048,147.76817321777344,308.25,560.0900268554688,105.13999938964844,13.59732437133789,80.98015594482422,112.21021270751952,289.0436096191406,125.70999908447266,107.63999938964844,168.9959716796875,99.93842315673828,276.760009765625,105.18929290771484,49.556907653808594,127.08551025390624,139.72000122070312,140.99000549316406,42.19268035888672,131.47000122070312,8.731937408447266,77.76822662353516,11.9399995803833,74.81792449951172,153.892822265625,62.84027099609375,165.5978240966797,119.6103515625,333.6949768066406,149.51075744628906,282.2011413574219,83.47461700439453,171.80050659179688,297.69000244140625,326.8876647949219,42.18502426147461,176.9169158935547,142.41400146484375,96.58000183105467,86.62000274658203,74.73668670654297,195.41000366210935,235.50018310546875,153.0150146484375,14.34597873687744,111.92728424072266,213.9900054931641,247.82769775390625,2650.699951171875,177.71890258789062,183.5066070556641,222.5399932861328,35.40943908691406,45.40374755859375,27.40130043029785,43.0040397644043,32.399383544921875,31.586328506469727,258.2447814941406,,70.14680480957031,341.04998779296875,68.26678466796875,267.42999267578125,631.8834838867188,104.41706085205078,185.6000061035156,2978.39990234375,39.34290313720703,57.36539840698242,50.459999084472656,56.71183395385742,880.3519897460938,180.3604431152344,68.8797378540039,,118.1500015258789,104.46737670898438,250.0200042724609,43.869998931884766,96.5854034423828,39.30226135253906,97.47703552246094,92.5751724243164,68.47000122070312,12.5,52.51628494262695,45.709999084472656,271.2484130859375,163.57000732421875,71.51000213623047,208.30270385742188,121.476318359375,186.9642791748047,72.12000274658203,27.73805046081543,74.76000213623047
2023-10-18,87.03044891357422,68.14688873291016,95.10057067871094,147.8672332763672,303.7699890136719,557.8699951171875,102.16999816894533,13.715991973876951,79.9355697631836,108.4266128540039,281.5716247558594,122.16999816894533,107.11000061035156,152.45335388183594,96.61143493652344,272.3999938964844,99.69024658203124,49.35875701904297,126.57884216308594,137.9600067138672,139.27999877929688,42.124298095703125,128.1300048828125,8.544471740722656,77.85749816894531,11.359999656677246,74.32355499267578,151.0420379638672,62.26338577270508,161.5002899169922,117.46273040771484,322.2418212890625,143.73001098632812,281.36767578125,81.35930633544922,170.466796875,290.4800109863281,324.35272216796875,42.741790771484375,175.608642578125,141.146728515625,92.01000213623048,85.44999694824219,74.06087493896484,194.1999969482422,233.81396484375,151.5514678955078,14.0901517868042,111.08332824707033,209.63999938964844,246.76412963867188,2629.39990234375,173.92225646972656,178.47752380371094,219.52999877929688,35.51881790161133,44.995243072509766,27.093753814697266,42.71695327758789,31.822954177856445,31.804576873779297,258.3443908691406,,69.32711791992188,314.0,66.2195816040039,263.5,612.6021728515625,101.413330078125,185.69000244140625,2850.239990234375,38.37602615356445,55.81684875488281,50.709999084472656,56.19779968261719,882.969970703125,176.90481567382812,68.72003936767578,,111.9000015258789,104.65618896484376,246.55999755859372,42.52000045776367,94.36823272705078,39.510520935058594,95.379150390625,93.33137512207033,64.86000061035156,11.6899995803833,49.78622817993164,45.0099983215332,257.887451171875,163.6999969482422,69.80000305175781,205.57054138183597,118.56391143798828,189.058837890625,72.9800033569336,27.479928970336918,72.5199966430664
2023-10-19,85.7112045288086,66.69377899169922,94.9811553955078,144.142822265625,302.94000244140625,555.739990234375,102.4000015258789,13.686325073242188,79.13969421386719,109.3250961303711,278.8192749023437,119.97000122070312,106.98999786376952,144.14715576171875,93.78943634033205,270.2900085449219,98.18597412109376,48.992183685302734,123.92625427246094,137.75,138.97999572753906,41.626075744628906,128.39999389648438,8.5050048828125,77.02427673339844,11.449999809265137,73.58200073242188,149.13818359375,60.8410758972168,158.17662048339844,116.3491439819336,315.3002014160156,143.4204864501953,278.41094970703125,80.71074676513672,167.9287567138672,285.9200134277344,318.4444885253906,43.04999923706055,175.22915649414062,134.1417694091797,90.25,83.77999877929688,73.38506317138672,191.47999572753903,230.5113983154297,148.41531372070312,15.01506519317627,109.31600952148438,206.07000732421875,244.59727478027344,2494.659912109375,171.54315185546875,176.19700622558594,212.30999755859372,35.379608154296875,44.995243072509766,26.746524810791016,41.76658630371094,30.521015167236328,32.350196838378906,256.4322204589844,,68.63582611083984,315.989990234375,63.41341400146485,257.29998779296875,618.3836059570312,93.40335845947266,182.7899932861328,2785.199951171875,37.987281799316406,53.804718017578125,50.54999923706055,55.83204650878906,863.8578491210938,175.17201232910156,68.14112854003906,,111.38999938964844,103.00650024414062,245.05999755859372,41.90999984741211,93.08148193359376,39.45101547241211,92.16769409179688,92.32642364501952,63.41999816894531,11.390000343322754,48.64457321166992,43.13999938964844,251.58999633789065,162.72999572753906,68.31999969482422,202.2700042724609,115.94969940185548,189.39796447753903,71.94000244140625,27.271446228027344,71.30000305175781
2023-10-20,85.20911407470703,66.34542846679688,96.31470489501952,144.84608459472656,297.0,540.9600219726562,101.80999755859376,13.676435470581056,77.17985534667969,109.04557037353516,276.79229736328125,116.48999786376952,104.0199966430664,138.283935546875,94.12609100341795,269.8800048828125,96.63189697265624,48.36801528930664,122.3863754272461,135.60000610351562,136.74000549316406,41.72376251220703,125.16999816894533,8.396472930908203,75.71491241455078,11.079999923706056,72.5240478515625,141.11412048339844,59.199951171875,158.83143615722656,115.13614654541016,310.91815185546875,141.3438262939453,276.6348876953125,79.68302917480469,165.73907470703125,279.7200012207031,313.494384765625,42.15999984741211,172.6525421142578,133.8324432373047,92.0,82.76000213623047,72.40116882324219,186.1100006103516,227.0591735839844,145.3388671875,15.133138656616213,108.00540924072266,202.69000244140625,240.22378540039065,2488.550048828125,168.1331024169922,173.14968872070312,210.8600006103516,34.64377212524414,43.978965759277344,26.101673126220703,41.24190521240234,30.90861701965332,32.4295539855957,257.5874938964844,,67.8260269165039,310.7900085449219,63.98263549804688,257.45001220703125,610.7545166015625,93.60162353515624,180.0399932861328,2756.639892578125,38.48567199707031,53.16360092163086,50.04999923706055,55.81227493286133,849.7227783203125,172.47323608398438,67.04320526123047,,109.27999877929688,100.96922302246094,238.63999938964844,41.34000015258789,91.9036102294922,39.39151763916016,89.71188354492188,91.91846466064452,62.84000015258789,11.029999732971191,47.92979431152344,42.15999984741211,249.1999969482422,161.97000122070312,67.48999786376953,199.84695434570312,114.52828216552734,188.2609100341797,71.88999938964844,26.943830490112305,69.7300033569336
2023-10-23,84.2738265991211,66.07669830322266,95.31951904296876,143.36029052734375,294.94000244140625,540.4099731445312,100.01000213623048,13.844548225402832,76.76202392578125,109.15538024902344,272.9172058105469,120.38999938964844,103.4800033569336,135.8907928466797,93.44287109375,265.7200012207031,96.50238800048828,48.05097961425781,121.03524780273438,136.5,137.89999389648438,41.15715789794922,126.55999755859376,8.337272644042969,74.47498321533203,11.289999961853027,72.5240478515625,144.12437438964844,58.6628532409668,158.0377197265625,114.8378677368164,310.0815734863281,140.6349639892578,270.92974853515625,79.0045394897461,163.10150146484375,275.94000244140625,312.8556823730469,41.18999862670898,172.7723846435547,133.94219970703125,89.6500015258789,81.86000061035156,71.95394134521484,186.5200042724609,227.1888732910156,144.78134155273438,14.710040092468262,107.0224609375,199.72000122070312,239.70692443847656,2432.820068359375,165.3773193359375,170.5604705810547,210.0800018310547,34.474727630615234,42.66378021240234,25.36753273010254,41.073612213134766,29.37809181213379,32.588279724121094,254.88851928710935,,67.35198974609375,301.8999938964844,63.32353591918945,253.38999938964844,610.6551513671875,91.9361801147461,181.02999877929688,2819.5400390625,38.106895446777344,52.26603317260742,50.130001068115234,55.35755157470703,858.2734375,171.94541931152344,66.65394592285156,,110.91000366210938,100.81021881103516,239.9199981689453,41.36000061035156,90.89401245117188,39.183250427246094,89.86101531982422,91.5304183959961,61.880001068115234,11.380000114440918,48.14820098876953,42.220001220703125,247.32000732421875,161.22999572753906,66.8499984741211,198.9794464111328,112.42101287841795,188.3307342529297,70.86000061035156,26.60628890991211,68.98999786376953
2023-10-24,88.72380065917969,66.32552337646484,94.35417938232422,144.9253387451172,296.0899963378906,539.5599975585938,101.66999816894533,14.36866283416748,77.35893249511719,105.46163177490234,275.4707946777344,122.01000213623048,104.2699966430664,138.84234619140625,94.6310806274414,265.4599914550781,96.7414779663086,48.98227691650391,123.47919464111328,138.80999755859375,140.1199951171875,41.55768966674805,128.55999755859375,8.514871597290039,75.74466705322266,11.210000038146973,73.89839935302734,143.95492553710938,59.54806900024414,161.94674682617188,117.0948486328125,312.2128295898437,140.74478149414062,273.96588134765625,79.08436584472656,164.15652465820312,277.3099975585937,319.13311767578125,41.0,173.21180725097656,134.6107635498047,90.79000091552734,83.41999816894531,69.0419921875,190.4900054931641,230.6910095214844,146.20506286621094,15.28073024749756,107.89618682861328,205.0399932861328,239.00119018554688,2416.5400390625,167.8258056640625,172.35301208496094,213.3300018310547,34.28580093383789,45.80228805541992,25.26832389831543,41.35080337524414,28.66252326965332,32.31051254272461,258.1551513671875,,67.14459991455078,303.7099914550781,63.543235778808594,252.1100006103516,608.3306884765625,94.34512329101562,182.3600006103516,2835.3701171875,38.27634811401367,53.084693908691406,50.959999084472656,55.476173400878906,877.0770263671875,172.1346435546875,69.56842803955078,,110.51000213623048,100.09468841552734,237.41000366210935,41.65999984741211,92.73505401611328,39.27250671386719,88.68778991699219,92.9532699584961,62.0,11.449999809265137,47.80073547363281,42.47999954223633,249.5500030517578,162.27000427246094,66.83000183105469,199.31846618652344,115.47257995605467,188.52023315429688,69.69000244140625,27.122529983520508,69.44000244140625
2023-10-25,88.00511169433594,64.88236236572266,93.1201400756836,143.88526916503906,292.67999267578125,521.1400146484375,96.05999755859376,14.516998291015623,77.85635375976562,103.22541046142578,272.7284240722656,118.5,102.5999984741211,134.9335479736328,91.08625030517578,253.69000244140625,96.1537094116211,49.08135223388672,124.37332916259766,125.61000061035156,126.66999816894533,41.83122253417969,121.38999938964844,8.445805549621582,76.23072052001953,11.039999961853027,74.51142120361328,143.05783081054688,60.632205963134766,160.65696716308594,115.8321304321289,305.88873291015625,139.43687438964844,270.0367736816406,79.48348236083984,159.04063415527344,270.739990234375,319.01336669921875,41.02000045776367,170.87489318847656,129.83103942871094,89.37000274658203,83.48999786376953,70.61225891113281,186.08999633789065,230.5812530517578,148.34561157226562,14.94618797302246,107.5784683227539,200.2100067138672,217.0144805908203,2436.1201171875,163.74166870117188,167.6326446533203,207.8699951171875,33.828392028808594,45.29414749145508,25.34769058227539,41.42999649047852,27.94695472717285,31.903779983520508,254.52999877929688,,66.74957275390625,290.07000732421875,61.19643783569336,246.72000122070312,604.645263671875,91.1133804321289,177.72999572753906,2812.919921875,38.00721740722656,51.44737243652344,49.9900016784668,55.96055603027344,845.7410888671875,169.28648376464844,68.88970947265625,,106.22000122070312,101.54562377929688,231.02999877929688,38.540000915527344,90.5574722290039,40.5617561340332,88.45912170410156,93.0627212524414,60.52999877929688,11.270000457763672,46.69879150390625,39.43000030517578,244.94000244140625,162.4199981689453,65.76000213623047,198.13186645507807,112.26197052001952,188.62994384765625,68.70999908447266,27.261518478393555,65.16000366210938
2023-10-26,87.27657318115234,68.7938232421875,93.5281753540039,143.82583618164062,292.0400085449219,514.280029296875,93.66999816894533,14.734554290771484,77.12016296386719,104.13387298583984,275.8881225585937,115.47000122070312,101.8499984741211,134.82386779785156,93.07650756835938,190.55999755859372,96.88094329833984,49.32903671264648,124.80052185058594,122.27999877929688,123.44000244140624,38.35342788696289,119.56999969482422,8.564205169677734,76.42910766601562,11.149999618530272,74.91679382324219,142.87840270996094,60.522796630859375,173.68374633789062,117.34341430664062,315.0512390136719,139.6165771484375,267.6058959960937,80.02227783203125,160.10562133789062,268.7900085449219,319.0732421875,40.41999816894531,166.67042541503906,130.55946350097656,89.38999938964844,82.44999694824219,71.4073257446289,169.82000732421875,229.37396240234372,148.05690002441406,14.877311706542969,107.9855499267578,196.1199951171875,217.5214080810547,2450.72998046875,166.3190460205078,170.1422119140625,204.57000732421875,34.82276153564453,46.82852935791016,25.91317749023437,42.119998931884766,28.513446807861328,32.19147109985352,253.1456298828125,,65.28797912597656,291.5299987792969,61.42612457275391,241.0800018310547,603.0459594726562,91.5,179.08999633789062,2742.68994140625,38.13679504394531,52.8775634765625,49.77999877929688,52.3623161315918,822.9658203125,168.62921142578125,68.32079315185547,,107.12000274658205,105.71954345703124,230.44000244140625,38.7599983215332,88.95398712158203,40.59150695800781,88.99601745605469,92.0876235961914,60.38999938964844,11.369999885559082,46.24530792236328,39.27000045776367,242.42999267578125,163.88999938964844,66.45999908447266,197.8526763916016,115.89999389648438,188.1113128662109,68.11000061035156,27.4005069732666,64.5999984741211
2023-10-27,86.16407775878906,67.48999786376953,92.40360260009766,137.61517333984375,290.0400085449219,508.1199951171875,96.43000030517578,14.586220741271973,76.09547424316406,102.59647369384766,274.3877258300781,114.08999633789062,102.01000213623048,134.05606079101562,90.7594985961914,190.94000244140625,97.06026458740234,48.47699737548828,122.49565887451172,122.16999816894533,123.4000015258789,38.39250564575195,127.73999786376952,8.544471740722656,74.7725601196289,10.920000076293944,74.08625793457031,140.85494995117188,59.20989608764648,170.6378936767578,115.72276306152344,309.2947692871094,138.99757385253906,259.5294189453125,79.13424682617188,159.81698608398438,270.75,306.268798828125,40.130001068115234,167.99867248535156,131.01849365234375,86.01000213623047,81.36000061035156,69.60848236083984,176.19000244140625,227.7276763916016,145.3986053466797,14.58212661743164,105.36434936523438,195.1499938964844,213.5455017089844,2446.169921875,161.17422485351562,169.83348083496094,200.75999450683597,34.61394500732422,46.88831329345703,24.97069931030273,41.630001068115234,28.115909576416016,31.903779983520508,250.57614135742188,,63.60912322998047,270.67999267578125,59.45881271362305,234.5200042724609,594.1155395507812,89.61000061035156,179.69000244140625,2746.159912109375,36.56188583374024,51.70381927490234,49.52000045776367,50.43468475341797,834.522705078125,166.68727111816406,67.50233459472656,,106.26000213623048,104.7655029296875,230.8699951171875,39.13999938964844,83.1240234375,40.105560302734375,97.1787567138672,90.93341827392578,60.5099983215332,11.130000114440918,46.344970703125,39.31999969482422,238.55999755859372,161.25999450683594,66.1500015258789,198.331298828125,113.5,187.1537933349609,67.4800033569336,26.497085571289062,63.38999938964844
2023-10-30,88.13309478759766,69.48999786376953,92.5528793334961,140.5471649169922,292.70001220703125,526.9400024414062,96.18000030517578,14.7839994430542,77.00078582763672,100.99917602539062,278.9087219238281,116.9499969482422,102.56999969482422,127.04613494873048,92.11603546142578,186.7400054931641,97.33919525146484,48.47999954223633,124.65149688720705,124.45999908447266,125.75,39.3205680847168,132.7100067138672,8.741803169250488,74.435302734375,11.18000030517578,74.56085968017578,142.8086395263672,60.671993255615234,171.28277587890625,116.04092407226562,314.55328369140625,139.89613342285156,261.1367492675781,79.80277252197266,155.1489715576172,275.1400146484375,308.1750183105469,39.68000030517578,170.06593322753906,130.7490692138672,86.38999938964844,82.87999725341797,70.97998046875,175.72000122070312,233.2053375244141,145.78689575195312,15.01506519317627,105.68207550048828,197.7899932861328,214.77804565429688,2469.699951171875,161.23370361328125,171.91482543945312,201.72999572753903,34.76309585571289,47.73521041870117,25.486581802368164,42.34000015258789,29.000431060791016,31.78473663330078,250.06820678710935,,63.6881217956543,269.3699951171875,56.562767028808594,237.2100067138672,603.0956420898438,92.37999725341795,182.3500061035156,2788.25,36.59178924560547,52.581661224365234,50.04999923706055,50.66204452514648,837.3994750976562,168.7686309814453,68.74000549316406,,107.25,105.7990493774414,233.72000122070312,40.09000015258789,83.07453155517578,40.06589126586914,99.96268463134766,90.58516693115234,60.66999816894531,11.399999618530272,47.21207046508789,39.91999816894531,242.16000366210935,163.5,67.5,196.4865875244141,114.27999877929688,184.9295654296875,67.95999908447266,26.69563865661621,63.13999938964844
2023-10-31,89.54093933105469,69.76000213623047,94.0954360961914,139.8438720703125,297.0899963378906,532.0599975585938,98.5,14.899999618530272,77.70712280273438,103.19546508789062,280.6376037597656,118.29000091552734,103.33000183105467,126.41793060302734,92.21504974365234,184.58999633789065,97.98673248291016,48.790000915527344,127.29415130615234,124.08000183105467,125.3000030517578,39.24241638183594,133.08999633789062,8.771403312683105,75.09990692138672,11.149999618530272,74.68939208984375,145.5597381591797,60.98032760620117,176.7891387939453,116.9755401611328,313.2884521484375,140.54510498046875,253.70518493652344,80.37150573730469,156.59217834472656,278.260009765625,309.3999938964844,39.720001220703125,170.54531860351562,132.0662384033203,87.19999694824219,86.68000030517578,71.1290512084961,200.3699951171875,234.96139526367188,148.2460479736328,15.152816772460938,106.89338684082033,197.6300048828125,216.9051513671875,2477.1298828125,164.29681396484375,173.34886169433594,204.4900054931641,34.22613525390625,47.97433853149414,26.13143539428711,42.5,29.467538833618164,32.171627044677734,251.7513427734375,,65.98915100097656,275.2799987792969,54.55550765991211,237.5399932861328,608.221435546875,92.3499984741211,186.82000732421875,2789.56005859375,36.78117752075195,52.83810806274414,51.18999862670898,50.9388313293457,837.5189208984375,169.93377685546875,69.41999816894531,,108.5199966430664,105.32203674316406,239.8500061035156,39.88999938964844,84.01484680175781,40.075809478759766,100.7083740234375,90.5453643798828,61.09000015258789,11.460000038146973,47.50110626220703,34.38999938964844,226.0500030517578,163.88999938964844,69.33999633789062,199.82699584960935,114.51000213623048,184.67022705078125,68.9800033569336,26.685710906982425,64.01000213623047
2023-11-01,89.156982421875,70.80999755859375,94.55322265625,141.12167358398438,300.6400146484375,544.5,108.04000091552734,14.850000381469728,78.64227294921875,102.6863250732422,281.6014099121094,119.47000122070312,103.88999938964844,122.6088409423828,91.98731231689452,183.2100067138672,98.54460906982422,49.5,128.90357971191406,126.4499969482422,127.56999969482422,38.97865295410156,137.0,8.593804359436035,76.22079467773438,11.140000343322754,75.61880493164062,145.9783935546875,61.716346740722656,176.97764587402344,118.11894989013672,316.23638916015625,142.1724853515625,258.8050842285156,81.44910430908203,158.49322509765625,278.75,311.75,39.61000061035156,173.74110412597656,134.9999237060547,86.08000183105469,90.0,70.93029022216797,210.83999633789065,236.7772979736328,165.74884033203125,15.329928398132324,107.89618682861328,198.92999267578125,209.10243225097656,2490.719970703125,162.44308471679688,173.14968872070312,207.1499938964844,34.64377212524414,47.37652206420898,26.19095993041992,43.16999816894531,29.52716827392578,32.52876281738281,252.7472686767578,,65.14971923828125,277.5,52.75796508789063,239.6199951171875,612.1253662109375,94.75,189.3800048828125,2766.22998046875,36.990501403808594,52.7690658569336,51.65999984741211,50.69169998168945,849.0359497070312,169.82423400878906,69.30000305175781,,117.47000122070312,105.40153503417967,244.8800048828125,39.470001220703125,83.81688690185547,40.33365631103516,99.69422912597656,93.11247253417967,61.4900016784668,11.300000190734863,49.49443817138672,32.18000030517578,231.8300018310547,165.67999267578125,70.19000244140625,198.59056091308597,113.0199966430664,186.74484252929688,69.31999969482422,27.122529983520508,61.68999862670898
2023-11-02,90.87986755371094,71.3499984741211,95.49864959716795,141.90419006347656,308.1199951171875,558.7100219726562,107.83000183105467,15.5,81.30845642089844,104.2936019897461,287.77178955078125,115.5,105.2699966430664,124.26409912109376,96.90848541259766,192.32000732421875,98.7538070678711,50.2599983215332,130.50308227539062,127.48999786376952,128.5800018310547,39.73086929321289,138.07000732421875,8.69247055053711,77.49048614501953,11.399999618530272,78.34772491455078,150.36422729492188,64.01392364501953,182.7022705078125,123.7763214111328,330.0199890136719,143.4704132080078,264.5102233886719,82.91584777832031,163.5692901611328,272.8500061035156,321.25,39.68999862670898,177.3363800048828,138.21302795410156,77.19999694824219,85.94000244140625,71.97381591796875,211.67999267578125,241.6563262939453,163.07064819335938,15.477519989013672,110.5868911743164,199.2400054931641,217.2430877685547,2546.02001953125,166.45782470703125,175.47999572753906,210.2700042724609,35.30999755859375,48.66181945800781,27.40130043029785,44.2400016784668,30.48126220703125,33.97712707519531,254.8785552978516,,65.52499389648438,281.19000244140625,55.33444595336914,241.8600006103516,640.2178955078125,98.1999969482422,192.00999450683597,2838.6201171875,32.1561164855957,55.07709503173828,52.52000045776367,50.54342269897461,867.3118896484375,178.06996154785156,70.91000366210938,,121.25,104.81520080566406,244.47999572753903,40.630001068115234,86.68733215332031,40.93861389160156,104.04907989501952,93.31147003173828,63.63999938964844,11.899999618530272,49.80340576171875,32.88999938964844,239.1199951171875,162.8000030517578,71.69999694824219,206.0790863037109,115.56999969482422,191.68202209472656,68.93000030517578,27.29130172729492,67.08000183105469
2023-11-03,92.4058609008789,71.55999755859375,95.37922668457033,140.0816192626953,313.489990234375,563.6599731445312,112.25,16.790000915527344,81.80587768554688,108.83592224121094,291.3289489746094,122.63999938964844,108.5,127.614501953125,101.31476593017578,197.44000244140625,101.50333404541016,51.09999847412109,130.8706512451172,129.10000610351562,130.3699951171875,39.73086929321289,138.60000610351562,8.988468170166016,77.8773422241211,11.979999542236328,78.82232666015625,152.26806640625,63.39725875854492,189.0718231201172,129.2945098876953,335.739990234375,143.4704132080078,267.75469970703125,84.58214569091797,167.13250732421875,287.739990234375,323.2799987792969,39.959999084472656,176.41757202148438,139.4503631591797,77.5,85.55000305175781,72.46080017089844,212.4900054931641,241.7860412597656,162.7819366455078,15.625113487243652,110.69610595703124,203.97999572753903,217.9885711669922,2574.5400390625,169.82821655273438,180.4891662597656,217.25,35.189998626708984,51.03313446044922,28.194965362548828,45.25,32.38944625854492,33.68943786621094,257.8563842773437,,66.35455322265625,287.8800048828125,58.639930725097656,249.5,653.6085205078125,100.9000015258789,195.0500030517578,2858.75,33.2525749206543,58.10515213012695,52.52999877929688,52.21403503417969,878.6398315429688,176.386962890625,70.52999877929688,,126.79000091552734,105.40153503417967,249.5399932861328,44.400001525878906,89.6468505859375,40.6510124206543,105.70948791503906,99.7093505859375,66.97000122070312,12.550000190734863,50.36153411865234,35.27000045776367,240.75,169.5,76.01000213623047,208.86111450195312,120.95999908447266,194.66427612304688,69.31999969482422,27.19202423095703,65.19999694824219
2023-11-06,92.07112121582033,71.08999633789062,94.54326629638672,139.8636932373047,313.0899963378906,565.4500122070312,111.75,16.34000015258789,80.98015594482422,107.3484344482422,289.4410400390625,118.16999816894533,108.44000244140624,119.11883544921876,100.25527954101562,197.7700042724609,101.3439483642578,50.43999862670898,129.66856384277344,130.25,131.4499969482422,39.60387420654297,139.74000549316406,8.939135551452637,77.6491928100586,11.65999984741211,78.35761260986328,152.49734497070312,63.59618377685547,185.23223876953125,126.84861755371094,333.1700134277344,143.23080444335938,270.7015380859375,84.16307830810547,166.78414916992188,280.92999267578125,325.5199890136719,39.29999923706055,178.9941864013672,140.05906677246094,74.44999694824219,85.16000366210938,72.11295318603516,212.80999755859372,242.4246063232422,160.89028930664062,15.497200012207031,109.91173553466795,201.9900054931641,219.21115112304688,2605.820068359375,167.64736938476562,178.36798095703125,216.8600006103516,34.939998626708984,50.30580139160156,28.10567855834961,44.9900016784668,31.306154251098636,34.21521759033203,258.0456237792969,,66.12741088867188,288.8599853515625,58.60997009277344,248.6300048828125,648.8900146484375,98.33000183105467,192.9499969482422,2971.429931640625,32.72428512573242,56.5960578918457,52.810001373291016,52.18437957763672,876.79833984375,176.59609985351562,70.91000366210938,,125.58999633789062,104.7655029296875,249.7700042724609,43.900001525878906,87.11294555664062,40.36341094970703,104.844482421875,101.15210723876952,66.05000305175781,12.260000228881836,50.1024055480957,34.279998779296875,238.27999877929688,174.0800018310547,75.12000274658203,210.43658447265625,120.02999877929688,196.36985778808597,71.83999633789062,27.043107986450195,65.36000061035156
